model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
smolvlm,vqa_rad,jpeg_compression,2,122,0.803279,0.093692,0.111804,0.883721
smolvlm,vqa_rad,jpeg_compression,3,122,0.762295,0.118305,0.130172,0.813953
smolvlm,vqa_rad,downscale_upscale,1,122,0.819672,0.095451,0.105819,0.895349
smolvlm,vqa_rad,downscale_upscale,2,122,0.811475,0.115502,0.104528,0.860465
smolvlm,vqa_rad,downscale_upscale,3,122,0.770492,0.139676,0.152449,0.813953
smolvlm,slake_en,clean,0,357,0.677871,0.184216,0.208740,0.744000
smolvlm,slake_en,gaussian_noise,1,357,0.680672,0.174520,0.213692,0.736000
smolvlm,slake_en,gaussian_noise,2,357,0.683473,0.182195,0.216000,0.724000
smolvlm,slake_en,gaussian_noise,3,357,0.677871,0.176614,0.206185,0.716000
smolvlm,slake_en,gaussian_blur,1,357,0.689076,0.175160,0.191493,0.736000
smolvlm,slake_en,gaussian_blur,2,357,0.677871,0.169895,0.214854,0.732000
smolvlm,slake_en,gaussian_blur,3,357,0.655462,0.183312,0.263858,0.696000
smolvlm,slake_en,motion_blur,1,357,0.635854,0.212713,0.276515,0.684000
smolvlm,slake_en,motion_blur,2,357,0.666667,0.185877,0.277747,0.696000
smolvlm,slake_en,motion_blur,3,357,0.663866,0.206642,0.280726,0.704000
smolvlm,slake_en,brightness_shift,1,357,0.697479,0.167936,0.209071,0.732000
smolvlm,slake_en,brightness_shift,2,357,0.683473,0.184696,0.206089,0.732000
smolvlm,slake_en,brightness_shift,3,357,0.661064,0.196226,0.208367,0.736000
smolvlm,slake_en,contrast_shift,1,357,0.708683,0.166279,0.201618,0.736000
smolvlm,slake_en,contrast_shift,2,357,0.677871,0.181535,0.194489,0.732000
smolvlm,slake_en,contrast_shift,3,357,0.675070,0.180803,0.185141,0.740000
smolvlm,slake_en,jpeg_compression,1,357,0.691877,0.159247,0.190294,0.748000
smolvlm,slake_en,jpeg_compression,2,357,0.694678,0.174575,0.206079,0.720000
smolvlm,slake_en,jpeg_compression,3,357,0.677871,0.168934,0.227097,0.696000
smolvlm,slake_en,downscale_upscale,1,357,0.686275,0.181187,0.219760,0.724000
smolvlm,slake_en,downscale_upscale,2,357,0.689076,0.183078,0.217940,0.716000
smolvlm,slake_en,downscale_upscale,3,357,0.672269,0.189761,0.222232,0.724000
smolvlm,pathvqa,clean,0,2060,0.787864,0.144938,0.073189,0.880028
smolvlm,pathvqa,gaussian_noise,1,2060,0.797573,0.136226,0.067090,0.890430
smolvlm,pathvqa,gaussian_noise,2,2060,0.800000,0.134957,0.066194,0.892510
smolvlm,pathvqa,gaussian_noise,3,2060,0.786408,0.141206,0.072197,0.889043
smolvlm,pathvqa,gaussian_blur,1,2060,0.788350,0.140543,0.071541,0.887656
smolvlm,pathvqa,gaussian_blur,2,2060,0.755825,0.165422,0.088497,0.854369
