model,condition,eval_dataset,n,accuracy,ece,ece_ci_lo,ece_ci_hi,adaptive_ece,adaptive_ece_ci_lo,adaptive_ece_ci_hi,mce,brier,brier_ci_lo,brier_ci_hi,nll,nll_ci_lo,nll_ci_hi,aurc,aurc_ci_lo,aurc_ci_hi,e_aurc,e_aurc_ci_lo,e_aurc_ci_hi,sel_acc_100,sel_acc_90,sel_acc_80,sel_acc_70,sel_acc_50,coverage_at_5pct_risk,auroc_optsoftmax,auroc_entropy,auroc_mean_logprob
qwen25vl,vqa_rad,slake_en,357,0.680672,0.238678,0.198198,0.293033,0.243148,0.196740,0.289006,0.571467,0.526250,0.445794,0.604234,0.924216,0.774620,1.074884,0.156538,0.120201,0.198592,0.098601,0.073938,0.126392,0.680672,0.686335,0.713287,0.752000,0.860335,0.145658,0.733774,0.733774,0.733738
qwen25vl,vqa_rad,vqa_rad,122,0.762295,0.182749,0.115363,0.257802,0.168169,0.114891,0.248065,0.622459,0.359806,0.243060,0.488715,0.646549,0.429253,0.885335,0.095587,0.050184,0.154562,0.063815,0.031864,0.107201,0.762295,0.818182,0.836735,0.860465,0.918033,0.278689,0.790137,0.790137,0.790137
qwen25vl,zero_shot,pathvqa,2060,0.702427,0.109261,0.092205,0.130679,0.108668,0.091826,0.129805,0.137964,0.410212,0.386832,0.434966,0.663081,0.619391,0.709321,0.200337,0.177453,0.225531,0.150799,0.131510,0.171106,0.702427,0.724380,0.748180,0.773232,0.818447,0.001456,0.674335,0.674335,0.602476
qwen25vl,zero_shot,slake_en,357,0.759104,0.089119,0.061578,0.133454,0.095731,0.068662,0.139706,0.333056,0.318803,0.268203,0.374665,0.473433,0.403478,0.549224,0.087864,0.064614,0.116822,0.055853,0.040471,0.074367,0.759104,0.791925,0.825175,0.848000,0.938547,0.420168,0.797692,0.797692,0.369905
qwen25vl,zero_shot,vqa_rad,122,0.778689,0.047490,0.048597,0.140923,0.097702,0.079466,0.176006,0.185744,0.294523,0.220478,0.379267,0.459609,0.357406,0.581154,0.099902,0.052499,0.165692,0.072470,0.033685,0.121183,0.778689,0.827273,0.846939,0.860465,0.901639,0.286885,0.758285,0.758285,0.409357
smolvlm,pathvqa,pathvqa,2060,0.787864,0.144938,0.129743,0.161706,0.144938,0.128880,0.161132,0.265852,0.337852,0.310911,0.364828,0.655692,0.595432,0.715341,0.073189,0.063892,0.082697,0.048852,0.042355,0.055700,0.787864,0.824164,0.851942,0.880028,0.947573,0.485922,0.800663,0.800663,0.800611
smolvlm,pathvqa,slake_en,357,0.518207,0.445954,0.397198,0.501225,0.442954,0.391284,0.494827,0.629568,0.888928,0.794233,0.989108,2.754478,2.411976,3.101518,0.467631,0.396481,0.539977,0.325824,0.272009,0.378800,0.518207,0.527950,0.559441,0.576000,0.608939,0.002801,0.581552,0.581552,0.585638
smolvlm,pathvqa,vqa_rad,122,0.524590,0.420883,0.345947,0.514913,0.409523,0.330111,0.500454,0.754915,0.830940,0.680536,0.992093,2.122922,1.680834,2.623391,0.390027,0.288318,0.518577,0.251109,0.179204,0.343759,0.524590,0.536364,0.561224,0.593023,0.573770,0.016393,0.594019,0.594019,0.594558
smolvlm,slake_en,pathvqa,2060,0.550485,0.211265,0.190670,0.233883,0.206561,0.191090,0.234795,0.361071,0.604719,0.580027,0.630738,0.907078,0.865762,0.949320,0.410440,0.380472,0.440231,0.289432,0.266888,0.312586,0.550485,0.551241,0.558859,0.563800,0.568932,0.000485,0.537377,0.537377,0.536346
smolvlm,slake_en,slake_en,357,0.677871,0.184216,0.145279,0.236216,0.184752,0.147802,0.233885,0.231618,0.480892,0.412161,0.549574,0.817912,0.690273,0.946512,0.208740,0.162468,0.259188,0.149716,0.116565,0.188286,0.677871,0.698758,0.730769,0.744000,0.731844,0.126050,0.649443,0.649443,0.649156
smolvlm,slake_en,vqa_rad,122,0.614754,0.171390,0.126832,0.280622,0.172278,0.157751,0.295719,0.437081,0.538364,0.445190,0.633554,0.826262,0.670198,0.988122,0.344984,0.239853,0.457819,0.257263,0.174576,0.347103,0.614754,0.627273,0.612245,0.616279,0.639344,0.016393,0.532199,0.532199,0.535035
smolvlm,vqa_rad,pathvqa,2060,0.520874,0.317276,0.295504,0.340492,0.315696,0.293341,0.339778,0.450477,0.738909,0.706070,0.773847,1.375661,1.299573,1.451384,0.461625,0.432207,0.491197,0.322122,0.300175,0.343112,0.520874,0.524272,0.526699,0.531207,0.536893,0.010194,0.511159,0.511159,0.512481
smolvlm,vqa_rad,slake_en,357,0.627451,0.252136,0.212724,0.306300,0.252136,0.208862,0.303819,0.399001,0.587970,0.511189,0.667172,1.097472,0.920199,1.276329,0.250908,0.199731,0.307568,0.170286,0.133616,0.211535,0.627451,0.639752,0.653846,0.664000,0.715084,0.058824,0.638796,0.638796,0.636446
smolvlm,vqa_rad,vqa_rad,122,0.827869,0.080488,0.057566,0.164312,0.081384,0.074125,0.171819,0.223669,0.267937,0.179805,0.361485,0.514419,0.326120,0.738889,0.109659,0.047802,0.190094,0.093209,0.038495,0.164201,0.827869,0.854545,0.867347,0.872093,0.918033,0.040984,0.688355,0.688355,0.686940
smolvlm,zero_shot,pathvqa,2060,0.533010,0.226014,0.207037,0.251003,0.226772,0.207530,0.250641,0.418437,0.630495,0.606565,0.656853,0.944856,0.904748,0.986817,0.437453,0.409060,0.466528,0.305728,0.284520,0.327658,0.533010,0.534520,0.540049,0.545770,0.544660,0.003883,0.522847,0.522847,0.429649
smolvlm,zero_shot,slake_en,357,0.568627,0.280341,0.238782,0.334327,0.278589,0.237895,0.332694,0.360547,0.662597,0.591361,0.736883,1.235054,1.060023,1.419697,0.329974,0.273487,0.392412,0.219005,0.177729,0.263653,0.568627,0.574534,0.587413,0.592000,0.620112,0.044818,0.585823,0.585823,0.446197
smolvlm,zero_shot,vqa_rad,122,0.704918,0.130551,0.083162,0.206907,0.125744,0.092680,0.206683,0.223168,0.380949,0.296230,0.470056,0.559216,0.452087,0.678282,0.153974,0.093530,0.231183,0.104178,0.061782,0.158405,0.704918,0.745455,0.755102,0.790698,0.819672,0.237705,0.712209,0.712209,0.519380
