model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
internvl,vqa_rad,motion_blur,2,122,0.7868852459016393,0.17460575106784298,0.15462973438040864,0.8023255813953488
internvl,vqa_rad,motion_blur,3,122,0.7704918032786885,0.1774483530748569,0.15370579209311389,0.813953488372093
internvl,vqa_rad,brightness_shift,1,122,0.8032786885245902,0.1727607889788985,0.1444456089548018,0.8604651162790697
internvl,vqa_rad,brightness_shift,2,122,0.8032786885245902,0.17524657615561134,0.15333253775944516,0.8604651162790697
internvl,vqa_rad,brightness_shift,3,122,0.7950819672131147,0.17608120729889032,0.15072131480020454,0.8372093023255814
internvl,vqa_rad,contrast_shift,1,122,0.8032786885245902,0.17782918037329742,0.14194897554077482,0.8488372093023255
internvl,vqa_rad,contrast_shift,2,122,0.8032786885245902,0.16401557566113034,0.15078850562243387,0.8488372093023255
internvl,vqa_rad,contrast_shift,3,122,0.7950819672131147,0.15697223499853272,0.14653174838726563,0.8372093023255814
internvl,vqa_rad,jpeg_compression,1,122,0.7950819672131147,0.17935331086129336,0.14787685789005042,0.8488372093023255
internvl,vqa_rad,jpeg_compression,2,122,0.7786885245901639,0.16439646178038259,0.14125583226723204,0.8488372093023255
internvl,vqa_rad,jpeg_compression,3,122,0.7950819672131147,0.16893138880231817,0.15021220781005482,0.8372093023255814
internvl,vqa_rad,downscale_upscale,1,122,0.7950819672131147,0.16529326712233003,0.14139770383870148,0.8604651162790697
internvl,vqa_rad,downscale_upscale,2,122,0.7950819672131147,0.16865624833098242,0.1458648820350443,0.8372093023255814
internvl,vqa_rad,downscale_upscale,3,122,0.7704918032786885,0.19270353951135172,0.15044007152724015,0.8372093023255814
internvl,slake_en,clean,0,357,0.6890756302521008,0.10330940886901918,0.1483552820860788,0.804
internvl,slake_en,gaussian_noise,1,357,0.6946778711484594,0.09749071457853695,0.1444215767179411,0.796
internvl,slake_en,gaussian_noise,2,357,0.680672268907563,0.1027223418331088,0.1673663803439073,0.78
internvl,slake_en,gaussian_noise,3,357,0.6778711484593838,0.0919164749169636,0.1852372638571685,0.768
internvl,slake_en,gaussian_blur,1,357,0.6918767507002801,0.10838417366537258,0.13101835559289574,0.828
internvl,slake_en,gaussian_blur,2,357,0.680672268907563,0.10093485851715192,0.1310371569419939,0.816
internvl,slake_en,gaussian_blur,3,357,0.6246498599439776,0.12091166660388562,0.1795959986042829,0.736
internvl,slake_en,motion_blur,1,357,0.6722689075630253,0.11746833528167494,0.15266207072835966,0.792
internvl,slake_en,motion_blur,2,357,0.6862745098039216,0.09646551889131366,0.1634889487723409,0.776
internvl,slake_en,motion_blur,3,357,0.6554621848739496,0.1100012107090893,0.18002897164376705,0.76
internvl,slake_en,brightness_shift,1,357,0.7030812324929971,0.09828389011977706,0.1478331297808077,0.804
internvl,slake_en,brightness_shift,2,357,0.6974789915966386,0.09638016460418396,0.14293329397895044,0.816
internvl,slake_en,brightness_shift,3,357,0.6946778711484594,0.09709382183652693,0.1407731412539513,0.816
internvl,slake_en,contrast_shift,1,357,0.7058823529411765,0.09176001256339372,0.14592717504960137,0.812
internvl,slake_en,contrast_shift,2,357,0.7002801120448179,0.0987557585933019,0.1411610031124612,0.808
internvl,slake_en,contrast_shift,3,357,0.6862745098039216,0.1107246337465404,0.13997354602077317,0.812
internvl,slake_en,jpeg_compression,1,357,0.6890756302521008,0.10428105283059688,0.15061580462434654,0.784
internvl,slake_en,jpeg_compression,2,357,0.6834733893557423,0.10999828820368915,0.15628893705068528,0.796
internvl,slake_en,jpeg_compression,3,357,0.6694677871148459,0.1177934724889701,0.15502296229360085,0.792
internvl,slake_en,downscale_upscale,1,357,0.7002801120448179,0.09093032473739174,0.13308916136073667,0.82
internvl,slake_en,downscale_upscale,2,357,0.6974789915966386,0.09332627897214331,0.135180348714742,0.808
internvl,slake_en,downscale_upscale,3,357,0.6750700280112045,0.1139274734061575,0.13660461453257713,0.812
internvl,pathvqa,clean,0,2060,0.8961165048543689,0.029825100782843974,0.03430241682807538,0.9507628294036061
internvl,pathvqa,gaussian_noise,1,2060,0.8966019417475728,0.028195072192696527,0.03370938904341733,0.9507628294036061
internvl,pathvqa,gaussian_noise,2,2060,0.8966019417475728,0.03237874815070369,0.03556103658344812,0.9486823855755895
internvl,pathvqa,gaussian_noise,3,2060,0.8902912621359224,0.02773780307191821,0.036210393251010047,0.9486823855755895
internvl,pathvqa,gaussian_blur,1,2060,0.8966019417475728,0.03377939962271642,0.03516085729313034,0.949375866851595
internvl,pathvqa,gaussian_blur,2,2060,0.891747572815534,0.0321246576739093,0.0387966635599036,0.941747572815534
internvl,pathvqa,gaussian_blur,3,2060,0.883495145631068,0.03394918868895523,0.044373262743007194,0.9299583911234397
internvl,pathvqa,motion_blur,1,2060,0.8990291262135922,0.03506911037781205,0.03537263962733299,0.9472954230235784
internvl,pathvqa,motion_blur,2,2060,0.8898058252427185,0.029606544058698114,0.036507993586563606,0.9438280166435506
internvl,pathvqa,motion_blur,3,2060,0.8898058252427185,0.033756454454246645,0.040086450553697264,0.9389736477115118
internvl,pathvqa,brightness_shift,1,2060,0.8980582524271845,0.03210887544264406,0.03380797120158053,0.9507628294036061
internvl,pathvqa,brightness_shift,2,2060,0.8927184466019418,0.03575288035870841,0.03400134571757938,0.9535367545076283
internvl,pathvqa,brightness_shift,3,2060,0.8922330097087379,0.03384859586961986,0.03525967708988393,0.9500693481276006
internvl,pathvqa,contrast_shift,1,2060,0.9004854368932039,0.03298639035436588,0.0340609800949375,0.9528432732316228
internvl,pathvqa,contrast_shift,2,2060,0.8990291262135922,0.03170777778460401,0.034456005181296843,0.9500693481276006
internvl,pathvqa,contrast_shift,3,2060,0.8966019417475728,0.03281050229690952,0.036622369064810915,0.9479889042995839
internvl,pathvqa,jpeg_compression,1,2060,0.8956310679611651,0.03096598772606087,0.03476149647756123,0.9500693481276006
internvl,pathvqa,jpeg_compression,2,2060,0.8907766990291263,0.032688692490912066,0.038200821101571907,0.9438280166435506
internvl,pathvqa,jpeg_compression,3,2060,0.8830097087378641,0.030415866393959733,0.040412978206418156,0.9396671289875174
internvl,pathvqa,downscale_upscale,1,2060,0.8980582524271845,0.03107144980972884,0.03475856194253199,0.9500693481276006
internvl,pathvqa,downscale_upscale,2,2060,0.8985436893203883,0.031595720235361946,0.03527300724960553,0.9472954230235784
internvl,pathvqa,downscale_upscale,3,2060,0.8946601941747573,0.03122914942459681,0.03835242700448836,0.9424410540915396
llavaov,vqa_rad,clean,0,122,0.6639344262295082,0.21505165038907315,0.1742462036468466,0.7674418604651163
llavaov,vqa_rad,gaussian_noise,1,122,0.680327868852459,0.19567973118585247,0.16244984234062065,0.7558139534883721
llavaov,vqa_rad,gaussian_noise,2,122,0.6721311475409836,0.20835269466497458,0.17826799067814342,0.7441860465116279
llavaov,vqa_rad,gaussian_noise,3,122,0.6639344262295082,0.22895776643056157,0.18518003405201738,0.7441860465116279
llavaov,vqa_rad,gaussian_blur,1,122,0.6967213114754098,0.20619149773327833,0.16470609334912725,0.7674418604651163
llavaov,vqa_rad,gaussian_blur,2,122,0.680327868852459,0.20176852924693472,0.16280383049003913,0.7441860465116279
llavaov,vqa_rad,gaussian_blur,3,122,0.6967213114754098,0.16180249588286338,0.1508577477774034,0.7906976744186046
llavaov,vqa_rad,motion_blur,1,122,0.680327868852459,0.2176398072249422,0.1560691182973385,0.7674418604651163
llavaov,vqa_rad,motion_blur,2,122,0.7131147540983607,0.17361932944114658,0.1415354997862668,0.7674418604651163
llavaov,vqa_rad,motion_blur,3,122,0.7213114754098361,0.14015193349312127,0.15133813344454833,0.7906976744186046
llavaov,vqa_rad,brightness_shift,1,122,0.6721311475409836,0.20509569503671982,0.17639783244234222,0.7441860465116279
llavaov,vqa_rad,brightness_shift,2,122,0.6721311475409836,0.21783753895264138,0.16434723084564276,0.7790697674418605
