model,condition,modality,n,accuracy,ece,ece_ci_lo,ece_ci_hi,brier,nll,aurc,aurc_ci_lo,aurc_ci_hi,e_aurc
huatuo,zero_shot,OCT (Optical Coherence Tomography,200,0.56,0.09729710519183324,0.08024522704216452,0.17254768830449219,0.5699822643854029,1.138633014795085,0.21659352399552728,0.16092471717329082,0.2804431727429945,0.10019443488186369
huatuo,zero_shot,X-Ray,200,0.365,0.3169390737061858,0.2624245240726272,0.3940226110974485,0.9123393780637988,2.63431899977272,0.6947872575952471,0.612896531853949,0.7761128378390049,0.4260728476068111
huatuo,zero_shot,ultrasound,200,0.075,0.6696095569553557,0.6232959961493655,0.7143183108063301,1.4780679238375989,6.664354750030936,0.94251394150222,0.897613241784035,0.9787846740779743,0.20949908811915385
internvl,ft_vqa_rad,CT(Computed Tomography),200,0.13,0.6388769555070324,0.5810477360678397,0.6955864171765745,1.3764991303898384,4.208796356085767,0.9269817963741787,0.8880979318121676,0.9581789573131063,0.3200512565220106
internvl,ft_vqa_rad,Dermoscopy,200,0.62,0.09570313255217361,0.08044523066032021,0.17390871783235443,0.516032953646954,1.3376671177065145,0.29321321562453667,0.19996834627394494,0.37797052929069974,0.20864748073895983
internvl,ft_vqa_rad,Fundus Photography,200,0.535,0.06527847491219048,0.05833494266623681,0.15254553932455567,0.6205350871734034,1.171552625535755,0.37680383798862105,0.29143190410149894,0.4801011540042831,0.24528048212113984
internvl,ft_vqa_rad,MR (Mag-netic Resonance Imaging),200,0.32,0.27899975475873834,0.22980581007367462,0.3564529637412727,0.9390807678230718,2.3284977761381573,0.7316410113927617,0.6528469384958555,0.8028889855127405,0.41456582560577787
internvl,ft_vqa_rad,Microscopy Images,200,0.42,0.15673276285177298,0.13754390104835262,0.24635731161626795,0.7860595123518543,1.6877270310662211,0.5230815337413155,0.4258427012607893,0.6205143683291588,0.3059858574266524
internvl,ft_vqa_rad,OCT (Optical Coherence Tomography,200,0.6,0.09228113889023892,0.0628078724830731,0.16111305756720645,0.5778795247180258,1.1275713410795196,0.20511028854112273,0.1528583885404997,0.2691290352787794,0.11060788500195247
internvl,ft_vqa_rad,X-Ray,200,0.47,0.19118486102994575,0.1566807195202236,0.27152919404883935,0.7191174929284705,2.068462919259158,0.5390837696355208,0.45050345628801486,0.6271241844352101,0.3626228376559282
internvl,ft_vqa_rad,ultrasound,200,0.14,0.6026796850746392,0.5514761134909029,0.6549401723425375,1.3222040517844804,5.641281076657472,0.8741545155055667,0.8043502545552966,0.9412784138493491,0.2872749027872773
internvl,zero_shot,CT(Computed Tomography),200,0.14,0.6428995055391513,0.5952851143780272,0.7095928123897361,1.394679085842131,5.8647981720612075,0.8846411134641755,0.817870716802381,0.9524067136168084,0.29776150074588614
internvl,zero_shot,Dermoscopy,200,0.555,0.14915365859208435,0.10888278774572459,0.2206714257961344,0.5878492239410922,1.7529141823078354,0.32758902557300973,0.2336431574116048,0.4185592575969724,0.20825599975500386
internvl,zero_shot,Fundus Photography,200,0.615,0.17314689311899942,0.1409975093816228,0.2546203722673763,0.6365859435092286,1.2191047998027948,0.38804497388231296,0.29409817200848887,0.4933356013531932,0.3010563820200069
internvl,zero_shot,MR (Mag-netic Resonance Imaging),200,0.39,0.25004107949709586,0.19915141485591,0.3330465646606426,0.8743417991472139,2.6359977764951554,0.6402327567337813,0.5515992023177214,0.7221938224262178,0.39593961657315274
internvl,zero_shot,Microscopy Images,200,0.47,0.22030553999181307,0.17691158427211287,0.297647350219695,0.7741216983798642,1.7729342251022684,0.47528350908098516,0.3828695704044339,0.5774263914226991,0.2988225771013925
